SCORE	PATH	ISSUES
100.0	"data/planalto_clean\\CDC.txt"	[]
100.0	"data/planalto_clean\\CLT.txt"	[]
100.0	"data/planalto_clean\\CODIGO_CIVIL.txt"	[]
100.0	"data/planalto_clean\\CODIGO_PENAL.txt"	[]
100.0	"data/planalto_clean\\CONSTITUICAO_FEDERAL.txt"	[]
100.0	"data/planalto_clean\\CPC.txt"	[]
100.0	"data/planalto_clean\\CPP.txt"	[]
100.0	"data/planalto_clean\\CTN.txt"	[]
100.0	"data/planalto_clean\\LEI_ANTICORRUPCAO.txt"	[]
100.0	"data/planalto_clean\\LEI_FALENCIAS.txt"	[]
100.0	"data/planalto_clean\\LEI_INQUILINATO.txt"	[]
100.0	"data/planalto_clean\\LEI_LICITACOES_1993.txt"	[]
100.0	"data/planalto_clean\\LGPD.txt"	[]
100.0	"data/planalto_clean\\MARCO_CIVIL_INTERNET.txt"	[]
100.0	"data/planalto_clean\\NOVA_LEI_LICITACOES.txt"	[]
100.0	"data/wikibooks_clean\\wiki_000.txt"	[]
100.0	"data/wikibooks_clean\\wiki_001.txt"	[]
100.0	"data/wikinews_clean\\wiki_000.txt"	[]
100.0	"data/wikinews_clean\\wiki_001.txt"	[]
100.0	"data/wikinews_clean\\wiki_002.txt"	[]
100.0	"data/wikinews_clean\\wiki_003.txt"	[]
100.0	"data/wikisource_clean\\wiki_000.txt"	[]
100.0	"data/wikisource_clean\\wiki_001.txt"	[]
100.0	"data/wikisource_clean\\wiki_002.txt"	[]
100.0	"data/wikisource_clean\\wiki_003.txt"	[]
100.0	"data/wikisource_clean\\wiki_004.txt"	[]
100.0	"data/wikisource_clean\\wiki_005.txt"	[]
100.0	"data/wikisource_clean\\wiki_006.txt"	[]
100.0	"data/wikisource_clean\\wiki_007.txt"	[]
100.0	"data/wikisource_clean\\wiki_008.txt"	[]
100.0	"data/wikisource_clean\\wiki_009.txt"	[]
100.0	"data/wikisource_clean\\wiki_010.txt"	[]
100.0	"data/wiki_clean\\wiki_000.txt"	[]
100.0	"data/wiki_clean\\wiki_001.txt"	[]
100.0	"data/wiki_clean\\wiki_002.txt"	[]
100.0	"data/wiki_clean\\wiki_003.txt"	[]
100.0	"data/wiki_clean\\wiki_004.txt"	[]
100.0	"data/wiki_clean\\wiki_005.txt"	[]
100.0	"data/wiki_clean\\wiki_006.txt"	[]
100.0	"data/wiki_clean\\wiki_007.txt"	[]
100.0	"data/wiki_clean\\wiki_008.txt"	[]
100.0	"data/wiki_clean\\wiki_009.txt"	[]
100.0	"data/wiki_clean\\wiki_010.txt"	[]
100.0	"data/wiki_clean\\wiki_011.txt"	[]
100.0	"data/wiki_clean\\wiki_012.txt"	[]
100.0	"data/wiki_clean\\wiki_013.txt"	[]
100.0	"data/wiki_clean\\wiki_014.txt"	[]
100.0	"data/wiki_clean\\wiki_015.txt"	[]
100.0	"data/wiki_clean\\wiki_016.txt"	[]
100.0	"data/wiki_clean\\wiki_017.txt"	[]
100.0	"data/wiki_clean\\wiki_018.txt"	[]
100.0	"data/wiki_clean\\wiki_019.txt"	[]
100.0	"data/wiki_clean\\wiki_020.txt"	[]
100.0	"data/wiki_clean\\wiki_021.txt"	[]
100.0	"data/wiki_clean\\wiki_022.txt"	[]
100.0	"data/wiki_clean\\wiki_023.txt"	[]
100.0	"data/wiki_clean\\wiki_024.txt"	[]
100.0	"data/wiki_clean\\wiki_025.txt"	[]
100.0	"data/wiki_clean\\wiki_026.txt"	[]
100.0	"data/wiki_clean\\wiki_027.txt"	[]
100.0	"data/wiki_clean\\wiki_028.txt"	[]
100.0	"data/wiki_clean\\wiki_029.txt"	[]
100.0	"data/wiki_clean\\wiki_030.txt"	[]
100.0	"data/wiki_clean\\wiki_031.txt"	[]
100.0	"data/wiki_clean\\wiki_032.txt"	[]
100.0	"data/wiki_clean\\wiki_033.txt"	[]
100.0	"data/wiki_clean\\wiki_034.txt"	[]
100.0	"data/wiki_clean\\wiki_035.txt"	[]
100.0	"data/wiki_clean\\wiki_036.txt"	[]
100.0	"data/wiki_clean\\wiki_037.txt"	[]
100.0	"data/wiki_clean\\wiki_038.txt"	[]
100.0	"data/wiki_clean\\wiki_039.txt"	[]
100.0	"data/wiki_clean\\wiki_040.txt"	[]
100.0	"data/wiki_clean\\wiki_041.txt"	[]
100.0	"data/wiki_clean\\wiki_042.txt"	[]
100.0	"data/wiki_clean\\wiki_043.txt"	[]
100.0	"data/wiki_clean\\wiki_044.txt"	[]
100.0	"data/wiki_clean\\wiki_045.txt"	[]
100.0	"data/wiki_clean\\wiki_046.txt"	[]
100.0	"data/wiki_clean\\wiki_047.txt"	[]
100.0	"data/wiki_clean\\wiki_048.txt"	[]
100.0	"data/wiki_clean\\wiki_049.txt"	[]
100.0	"data/wiki_clean\\wiki_050.txt"	[]
100.0	"data/wiki_clean\\wiki_051.txt"	[]
100.0	"data/wiki_clean\\wiki_052.txt"	[]
100.0	"data/wiki_clean\\wiki_053.txt"	[]
100.0	"data/wiki_clean\\wiki_054.txt"	[]
100.0	"data/wiki_clean\\wiki_055.txt"	[]
100.0	"data/wiki_clean\\wiki_056.txt"	[]
100.0	"data/wiki_clean\\wiki_057.txt"	[]
100.0	"data/wiki_clean\\wiki_058.txt"	[]
100.0	"data/wiki_clean\\wiki_059.txt"	[]
100.0	"data/wiki_clean\\wiki_060.txt"	[]
100.0	"data/wiki_clean\\wiki_061.txt"	[]
100.0	"data/wiki_clean\\wiki_062.txt"	[]
100.0	"data/wiki_clean\\wiki_063.txt"	[]
100.0	"data/wiki_clean\\wiki_064.txt"	[]
100.0	"data/wiki_clean\\wiki_065.txt"	[]
100.0	"data/wiki_clean\\wiki_066.txt"	[]
100.0	"data/wiki_clean\\wiki_067.txt"	[]
100.0	"data/wiki_clean\\wiki_068.txt"	[]
100.0	"data/wiki_clean\\wiki_069.txt"	[]
100.0	"data/wiki_clean\\wiki_070.txt"	[]
100.0	"data/wiki_clean\\wiki_071.txt"	[]
100.0	"data/wiki_clean\\wiki_072.txt"	[]
100.0	"data/wiki_clean\\wiki_073.txt"	[]
100.0	"data/wiki_clean\\wiki_074.txt"	[]
100.0	"data/wiki_clean\\wiki_075.txt"	[]
100.0	"data/wiki_clean\\wiki_076.txt"	[]
100.0	"data/wiki_clean\\wiki_077.txt"	[]
100.0	"data/wiki_clean\\wiki_078.txt"	[]
100.0	"data/wiki_clean\\wiki_079.txt"	[]
100.0	"data/wiki_clean\\wiki_080.txt"	[]
100.0	"data/wiki_clean\\wiki_081.txt"	[]
100.0	"data/wiki_clean\\wiki_082.txt"	[]
100.0	"data/wiki_clean\\wiki_083.txt"	[]
100.0	"data/wiki_clean\\wiki_084.txt"	[]
100.0	"data/wiki_clean\\wiki_085.txt"	[]
100.0	"data/wiki_clean\\wiki_086.txt"	[]
100.0	"data/wiki_clean\\wiki_087.txt"	[]
100.0	"data/wiki_clean\\wiki_088.txt"	[]
100.0	"data/wiki_clean\\wiki_089.txt"	[]
100.0	"data/wiki_clean\\wiki_090.txt"	[]
100.0	"data/wiki_clean\\wiki_091.txt"	[]
100.0	"data/wiki_clean\\wiki_092.txt"	[]
100.0	"data/wiki_clean\\wiki_093.txt"	[]
100.0	"data/wiki_clean\\wiki_094.txt"	[]
100.0	"data/wiki_clean\\wiki_095.txt"	[]
100.0	"data/wiki_clean\\wiki_096.txt"	[]
100.0	"data/wiki_clean\\wiki_097.txt"	[]
100.0	"data/wiki_clean\\wiki_098.txt"	[]
100.0	"data/wiki_clean\\wiki_099.txt"	[]
100.0	"data/wiki_clean\\wiki_100.txt"	[]
100.0	"data/wiki_clean\\wiki_101.txt"	[]
100.0	"data/wiki_clean\\wiki_102.txt"	[]
100.0	"data/wiki_clean\\wiki_103.txt"	[]
100.0	"data/wiki_clean\\wiki_104.txt"	[]
100.0	"data/wiki_clean\\wiki_105.txt"	[]
100.0	"data/wiki_clean\\wiki_106.txt"	[]
100.0	"data/wiki_clean\\wiki_107.txt"	[]
100.0	"data/wiki_clean\\wiki_108.txt"	[]
100.0	"data/wiki_clean\\wiki_109.txt"	[]
100.0	"data/wiki_clean\\wiki_110.txt"	[]
100.0	"data/wiki_clean\\wiki_111.txt"	[]
100.0	"data/wiki_clean\\wiki_112.txt"	[]
100.0	"data/wiki_clean\\wiki_113.txt"	[]
100.0	"data/wiki_clean\\wiki_114.txt"	[]
100.0	"data/wiki_clean\\wiki_115.txt"	[]
100.0	"data/wiki_clean\\wiki_116.txt"	[]
100.0	"data/wiki_clean\\wiki_117.txt"	[]
100.0	"data/wiki_clean\\wiki_118.txt"	[]
100.0	"data/wiki_clean\\wiki_119.txt"	[]
100.0	"data/wiki_clean\\wiki_120.txt"	[]
100.0	"data/wiki_clean\\wiki_121.txt"	[]
100.0	"data/wiki_clean\\wiki_122.txt"	[]
100.0	"data/wiki_clean\\wiki_123.txt"	[]
100.0	"data/wiki_clean\\wiki_124.txt"	[]
100.0	"data/wiki_clean\\wiki_125.txt"	[]
100.0	"data/wiki_clean\\wiki_126.txt"	[]
100.0	"data/wiki_clean\\wiki_127.txt"	[]
100.0	"data/wiki_clean\\wiki_128.txt"	[]
100.0	"data/wiki_clean\\wiki_129.txt"	[]
100.0	"data/wiki_clean\\wiki_130.txt"	[]
100.0	"data/wiki_clean\\wiki_131.txt"	[]
