SCORE	PATH	ISSUES
0.0	"D:\\ptbr-llm-data\\corpus\\carolina_social_media_SOCa.txt"	["Encoding quebrado"]
0.0	"D:\\ptbr-llm-data\\corpus\\culturax_0000.txt"	["Encoding quebrado"]
0.0	"D:\\ptbr-llm-data\\corpus\\culturax_0001.txt"	["Encoding quebrado"]
0.0	"D:\\ptbr-llm-data\\corpus\\culturax_0002.txt"	["Encoding quebrado"]
0.0	"D:\\ptbr-llm-data\\corpus\\culturax_0003.txt"	["Encoding quebrado"]
0.0	"D:\\ptbr-llm-data\\corpus\\culturax_0004.txt"	["Encoding quebrado"]
0.0	"D:\\ptbr-llm-data\\corpus\\culturax_0005.txt"	["Encoding quebrado"]
0.0	"D:\\ptbr-llm-data\\corpus\\culturax_0006.txt"	["Encoding quebrado"]
0.0	"D:\\ptbr-llm-data\\corpus\\culturax_0007.txt"	["Encoding quebrado"]
0.0	"D:\\ptbr-llm-data\\corpus\\culturax_0008.txt"	["Encoding quebrado"]
0.0	"D:\\ptbr-llm-data\\corpus\\culturax_0009.txt"	["Encoding quebrado"]
0.0	"D:\\ptbr-llm-data\\corpus\\culturax_0010.txt"	["Encoding quebrado"]
0.0	"D:\\ptbr-llm-data\\corpus\\culturax_0011.txt"	["Encoding quebrado"]
0.0	"D:\\ptbr-llm-data\\corpus\\culturax_0012.txt"	["Encoding quebrado"]
0.0	"D:\\ptbr-llm-data\\corpus\\culturax_0013.txt"	["Encoding quebrado"]
0.0	"D:\\ptbr-llm-data\\corpus\\culturax_0014.txt"	["Encoding quebrado"]
0.0	"D:\\ptbr-llm-data\\corpus\\culturax_0015.txt"	["Encoding quebrado"]
0.0	"D:\\ptbr-llm-data\\corpus\\culturax_0016.txt"	["Encoding quebrado"]
0.0	"D:\\ptbr-llm-data\\corpus\\culturax_0017.txt"	["Encoding quebrado"]
0.0	"D:\\ptbr-llm-data\\corpus\\culturax_0018.txt"	["Encoding quebrado"]
0.0	"D:\\ptbr-llm-data\\corpus\\culturax_0019.txt"	["Encoding quebrado"]
0.0	"D:\\ptbr-llm-data\\corpus\\culturax_0020.txt"	["Encoding quebrado"]
0.0	"D:\\ptbr-llm-data\\corpus\\culturax_0021.txt"	["Encoding quebrado"]
0.0	"D:\\ptbr-llm-data\\corpus\\culturax_0022.txt"	["Encoding quebrado"]
0.0	"D:\\ptbr-llm-data\\corpus\\culturax_0023.txt"	["Encoding quebrado"]
0.0	"D:\\ptbr-llm-data\\corpus\\culturax_0024.txt"	["Encoding quebrado"]
0.0	"D:\\ptbr-llm-data\\corpus\\culturax_0025.txt"	["Encoding quebrado"]
0.0	"D:\\ptbr-llm-data\\corpus\\culturax_0026.txt"	["Encoding quebrado"]
0.0	"D:\\ptbr-llm-data\\corpus\\culturax_0027.txt"	["Encoding quebrado"]
0.0	"D:\\ptbr-llm-data\\corpus\\culturax_0028.txt"	["Encoding quebrado"]
0.0	"D:\\ptbr-llm-data\\corpus\\culturax_0029.txt"	["Encoding quebrado"]
0.0	"D:\\ptbr-llm-data\\corpus\\culturax_0030.txt"	["Encoding quebrado"]
0.0	"D:\\ptbr-llm-data\\corpus\\culturax_0031.txt"	["Encoding quebrado"]
0.0	"D:\\ptbr-llm-data\\corpus\\culturax_0032.txt"	["Encoding quebrado"]
0.0	"D:\\ptbr-llm-data\\corpus\\culturax_0033.txt"	["Encoding quebrado"]
0.0	"D:\\ptbr-llm-data\\corpus\\culturax_0034.txt"	["Encoding quebrado"]
0.0	"D:\\ptbr-llm-data\\corpus\\culturax_0035.txt"	["Encoding quebrado"]
0.0	"D:\\ptbr-llm-data\\corpus\\culturax_0036.txt"	["Encoding quebrado"]
0.0	"D:\\ptbr-llm-data\\corpus\\culturax_0037.txt"	["Encoding quebrado"]
0.0	"D:\\ptbr-llm-data\\corpus\\culturax_0038.txt"	["Encoding quebrado"]
0.0	"D:\\ptbr-llm-data\\corpus\\culturax_0039.txt"	["Encoding quebrado"]
0.0	"D:\\ptbr-llm-data\\corpus\\culturax_0040.txt"	["Encoding quebrado"]
0.0	"D:\\ptbr-llm-data\\corpus\\culturax_0041.txt"	["Encoding quebrado"]
0.0	"D:\\ptbr-llm-data\\corpus\\culturax_0042.txt"	["Encoding quebrado"]
0.0	"D:\\ptbr-llm-data\\corpus\\culturax_0043.txt"	["Encoding quebrado"]
0.0	"D:\\ptbr-llm-data\\corpus\\culturax_0044.txt"	["Encoding quebrado"]
0.0	"D:\\ptbr-llm-data\\corpus\\culturax_0045.txt"	["Encoding quebrado"]
0.0	"D:\\ptbr-llm-data\\corpus\\culturax_0046.txt"	["Encoding quebrado"]
0.0	"D:\\ptbr-llm-data\\corpus\\culturax_0047.txt"	["Encoding quebrado"]
0.0	"D:\\ptbr-llm-data\\corpus\\culturax_0048.txt"	["Encoding quebrado"]
0.0	"D:\\ptbr-llm-data\\corpus\\culturax_0049.txt"	["Encoding quebrado"]
0.0	"D:\\ptbr-llm-data\\corpus\\culturax_0050.txt"	["Encoding quebrado"]
0.0	"D:\\ptbr-llm-data\\corpus\\culturax_0051.txt"	["Encoding quebrado"]
0.0	"D:\\ptbr-llm-data\\corpus\\culturax_0052.txt"	["Encoding quebrado"]
0.0	"D:\\ptbr-llm-data\\corpus\\culturax_0053.txt"	["Encoding quebrado"]
0.0	"D:\\ptbr-llm-data\\corpus\\culturax_0054.txt"	["Encoding quebrado"]
0.0	"D:\\ptbr-llm-data\\corpus\\culturax_0055.txt"	["Encoding quebrado"]
0.0	"D:\\ptbr-llm-data\\corpus\\culturax_0056.txt"	["Encoding quebrado"]
0.0	"D:\\ptbr-llm-data\\corpus\\culturax_0057.txt"	["Encoding quebrado"]
0.0	"D:\\ptbr-llm-data\\corpus\\culturax_0058.txt"	["Encoding quebrado"]
0.0	"D:\\ptbr-llm-data\\corpus\\culturax_0059.txt"	["Encoding quebrado"]
0.0	"D:\\ptbr-llm-data\\corpus\\culturax_0060.txt"	["Encoding quebrado"]
0.0	"D:\\ptbr-llm-data\\corpus\\culturax_0061.txt"	["Encoding quebrado"]
0.0	"D:\\ptbr-llm-data\\corpus\\culturax_0062.txt"	["Encoding quebrado"]
0.0	"D:\\ptbr-llm-data\\corpus\\culturax_0063.txt"	["Encoding quebrado"]
0.0	"D:\\ptbr-llm-data\\corpus\\culturax_0064.txt"	["Encoding quebrado"]
0.0	"D:\\ptbr-llm-data\\corpus\\culturax_0065.txt"	["Encoding quebrado"]
0.0	"D:\\ptbr-llm-data\\corpus\\culturax_0066.txt"	["Encoding quebrado"]
0.0	"D:\\ptbr-llm-data\\corpus\\culturax_0067.txt"	["Encoding quebrado"]
0.0	"D:\\ptbr-llm-data\\corpus\\culturax_0068.txt"	["Encoding quebrado"]
0.0	"D:\\ptbr-llm-data\\corpus\\culturax_0069.txt"	["Encoding quebrado"]
0.0	"D:\\ptbr-llm-data\\corpus\\culturax_0070.txt"	["Encoding quebrado"]
0.0	"D:\\ptbr-llm-data\\corpus\\culturax_0071.txt"	["Encoding quebrado"]
0.0	"D:\\ptbr-llm-data\\corpus\\culturax_0072.txt"	["Encoding quebrado"]
0.0	"D:\\ptbr-llm-data\\corpus\\culturax_0073.txt"	["Encoding quebrado"]
